nama_media,jenis_media,penanggung_jawab,pemimpin_redaksi,badan_hukum,provinsi,alamat,telp,email,website,status,tanggal
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Elshinta TV,Televisi,,,PT,DKI Jakarta,"Wisma Indosemen Annex Building Lt. 3, Jl. Jend. Sudirman Kav. 70-71 Kel. Setiabudi, Kec. Setiabudi, Kota Jakarta Selatan, Prov. DKI Jakarta
d/h
Jl. Sudirman No. 20, Kel Birugo, Kec Birugo Tiga Baleh",,,,Terverifikasi Administrasi,2018-09-04
O Channel,Televisi,,,PT,DKI Jakarta,"Gedung SCTV Tower '-Senayan City lt. 16, Jl. Asia Afrika Lot.19, Gelora, Tanah Abang",,,,Terverifikasi Administrasi,2018-09-04
Space Toon,Televisi,,,PT,DKI Jakarta,"Wisma 46 Kota BNI, 43rd Floor, Setiabudi, Menteng",,,,Terverifikasi Administrasi,2018-09-04
B Channel,Televisi,,,PT,DKI Jakarta,"Menara Rajawali lt.7, Mega Kuningan lot 5.1, Kuningan Timur, Setiabudi",,,,Terverifikasi Administrasi,2018-09-04
AN TV,Televisi,,,PT,DKI Jakarta,"Jl. HR. Rasuna Said Kav.X 6 No.8, Kelurahan Karet Kuningan, Kecamatan Setiabudi",,,,Terverifikasi Administrasi,2018-09-04
Latv / TV One,Televisi,,,PT,DKI Jakarta,"Jl. Rawa Terate II No.2, Kelurahan Jatinegara, Kecamatan Cakung",,,,Terverifikasi Administrasi,2018-09-04
Indosiar,Televisi,,,PT,DKI Jakarta,"Jl. Damai No.11, Kel Duri Kepak, Kec. Kebon Jeruk",,,,Terverifikasi Administrasi,2018-09-04
TV7 / Trans 7,Televisi,,,PT,DKI Jakarta,Jl. Kapten Piere Tendean Kav. 12-14A,,,,Terverifikasi Administrasi,2018-09-04
TPI,Televisi,,,PT,DKI Jakarta,"Jl. Pintu II TMII, Kel. Lubang Buaya, Kec Cipayung Kota Jakarta timur, DKI Jakarta",021-8750236,,,Terverifikasi Administrasi,2018-09-04
Global TV,Televisi,,,PT,DKI Jakarta,"Wisma Indovision Lantai 15, Jl. Raya Panjang Z/III, Kel. Kebon Jeruk, Kec. Kedoya Utara",,,,Terverifikasi Administrasi,2018-09-04
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Metro TV,Televisi,,,PT,DKI Jakarta,"Jl. Pilar Mas Raya Kav.A-D, Kel. Kedoya, Kec. Kebon Jeruk",,,,Terverifikasi Administrasi,2018-09-04
FMTV,Televisi,,,PT,DKI Jakarta,"Gedung Citra Graha Lantai 5 Jalan Jend. Gatot Subroto Kav.35-36 Kelurahan Kuningan Timur, Kec. Setiabudi, Jaksel, 12950",,,,Terverifikasi Administrasi,2018-09-04
M2V,Televisi,,,PT,DKI Jakarta,Jl. Melawai Raya No.7 Jakarta 12160,,,,Terverifikasi Administrasi,2018-09-04
Max3 TV,Televisi,,,PT,DKI Jakarta,"Mid Plaza 2 Lantai 8, Jl. Jend. Sudirman Kav. 10-11, Kel. Karet Tengsin, Kec. Tanah Abang, Jakpus 10220",,,,Terverifikasi Administrasi,2018-09-04
Mata Mathla Cable Television,Televisi,,,PT,DKI Jakarta,"Rumah Susun Petamburan Blok II Lt. Dasar No. DII.09, Jl. Administrasi Negara, Kel. Petamburan, Kec. Tanah Abang",,,,Terverifikasi Administrasi,2018-09-04
JV Cable,Televisi,,,PT,DKI Jakarta,"Jl. Raya Panjang Blok Z/III, Kel. Kedoya Utara, Kec. Kebon Jeruk",,,,Terverifikasi Administrasi,2018-09-04
Dens TV,Televisi,,,PT,DKI Jakarta,"Gedung Mangala Wanabakti IV Lt. 9 Jl. Jend. Gatot Subroto, Kel. Glora, Kec. Tanah Abang, Kota Jakarta Pusat, Prov. DKI Jakarta",,,,Terverifikasi Administrasi,2018-09-04
Cablenet Asia,Televisi,,,PT,DKI Jakarta,"Gedung Fresh Market Lantai Roof, Jl. Pantai Indah Kapuk Boulevard BGM, Kel. Kamal Muara, Kec. Penjaringan, Jakarta Utara",,,,Terverifikasi Administrasi,2018-09-04
Jakarta Vision,Televisi,,,PT,DKI Jakarta,"Jl. Raya Kebayoran Lama No. 12, Kel. Grogol Utara, Kec. Kebayoran Lama",,,,Terverifikasi Administrasi,2018-09-04
Inb Cable,Televisi,,,PT,DKI Jakarta,"The Boutiq Office Park B2, Jl. Benjamin Sueb Blok A6, Kemayoran, Jakarta Pusat, DKI Jakarta",,,,Terverifikasi Administrasi,2018-09-04
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
I-Sky-Net,Televisi,,,PT,DKI Jakarta,"Jl. Galeri Niaga Mediterania I Blok E8, Kapuk Muara, Penjaringan Jakarta Utara",,,,Terverifikasi Administrasi,2018-09-04
IM TV,Televisi,,,PT,DKI Jakarta,"Ariobimo Sentral Building Lantai 4, Jl. HR. Rasuna Said Blok X-2 No. 5, Setiabudi, Kota Jakarta Selatan, DKI Jakarta,12950",,,,Terverifikasi Administrasi,2018-09-04
Mega Vision,Televisi,,,PT,DKI Jakarta,"Jl. Tomang Raya Terusan Kav. 71-73 Graha Sukanda Mulia, Lt.2 Tomang",,,,Terverifikasi Administrasi,2018-09-04
Smart Vision,Televisi,,,PT,DKI Jakarta,"Jl. Asia Afrika Pintu IX, Kel. Senayan, Kec. Tanah Abang, Kota Jakarta Pusat",,,,Terverifikasi Administrasi,2018-09-04
Netralnews.com,Siber,,,PT,DKI Jakarta,"Rukan Plaza Sunter Terrace Blok A No. 18
Jl. Danau Sunter Utara Kav. 60 Jakarta Utara",021-29765095,redaksi@netralnews.com,www.netralnews.com,Terverifikasi Administrasi dan Faktual,2018-09-04
Viva Sky,Televisi,,,PT,DKI Jakarta,"Gedung Multivision Tower Lt. 9, Jl. Kuningan Mulia Lot. 9B, Kel. Guntur, Kec. Setiabudi, Kota Jakarta Selatan, Prov. DKI Jakarta
d/h
Jl. HR. Rasuna Said Kav.B-2 (wisma Bakrie 2,Lt.7), Kel. Karet, Kec. Setiabudi, Kota Jakarta Selatan",,,,Terverifikasi Administrasi,2018-09-04
Matrix TV,Televisi,,,PT,DKI Jakarta,"Komplek Pergudangan Daan Mogot Prima, Jl. Daan Mogot Raya No.10-BlokA1, Kel. Rawa Buaya, Kec. Cengkareng",,,,Terverifikasi Administrasi,2018-09-04
ELBOX,Televisi,,,PT,DKI Jakarta,"Jl. Raya Perjuangan No. 88, Kompleks Graha Kencana Blok AN - AO, Kel. Kebon Jeruk, Kec. Kebon Jeruk, Jakarta Barat, DKI Jakarta",,,,Terverifikasi Administrasi,2018-09-04
Mega Vision/Orange TV,Televisi,,,PT,DKI Jakarta,"JL.TOMANG RAYA TERUSAAN KAV.71 '-73 GRAHA SUKANDA MULIA,LT.2 TOMANG",,,,Terverifikasi Administrasi,2018-09-04
TOPAS TV,Televisi,,,PT,DKI Jakarta,"Mayapada Tower Lt.16 Jl. Jend. Sudirman Kav.28, Kel. Karet, Kec. Setiabudi, Jaksel, DKI jkt",,,,Terverifikasi Administrasi,2018-09-04
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
SKY LBS TV,Televisi,,,PT,DKI Jakarta,"The Bellezza Office Tower Lt.23, Jl.LetJen Soepeno (Arteri Permata Hijau) No.34, Grogol Utara, Kebayoran Lama, Jakarta Selatan, Indonesia 12210",,,,Terverifikasi Administrasi,2018-09-04
K Vision,Televisi,,,PT,DKI Jakarta,"Jl. Panjang No.8A, Kel. Kebon Jeruk, Kec. Kebon Jeruk, Kota Jakarta Barat, Prov. DKI Jakarta",,,,Terverifikasi Administrasi,2018-09-04
cumi-cumi.com,Siber,,,PT,DKI Jakarta,Jl. Caringin Barat Kav. 10 Jaksel 12430,021-75903206,advertise@cumicumi.com,www.cumi-cumi.com,Terverifikasi Administrasi dan Faktual,2018-09-04
Oke Vision,Televisi,,,PT,DKI Jakarta,"Jl. Kebon Sirih No.17-19, Kelurahan Kebon Sirih, Kecamatan Menteng",,,,Terverifikasi Administrasi,2018-09-04
Telkom Vision,Televisi,,,PT,DKI Jakarta,"Jl. Prof. DR. Supomo SH No. 139, kelurahan Tebet Barat, Kecamatan Tebet, Kota Jakarta Selatan, Provinsi DKI Jakarta 12810",,,,Terverifikasi Administrasi,2018-09-04
LKBN ANTARA,Siber,,,PT,DKI Jakarta,"Wisma Antara Lt.19
Jl. Merdeka Selatan No. 17
Jakarta Pusat",(021) 3802383,newsroom@antaranews.com,,Terverifikasi Administrasi dan Faktual,2018-09-04
RCTI,Televisi,,,PT,DKI Jakarta,Jl. Kebon Sirih No. 21-27 Jakarta Pusat 10340 Indonesia,021-29709700,corsec.mnc-corporation@mncgroup.com,www.mncgroup.com,Terverifikasi Administrasi dan Faktual,2018-09-04
Global TV,Televisi,,,PT,DKI Jakarta,"GlobalTV Building, MNC Studio
Jl. Lapangan Bola, Kebon Jeruk
Jakarta 11520",021-29709700,corsec.mnc-corporation@mncgroup.com,www.mncgroup.com,Terverifikasi Administrasi dan Faktual,2018-09-04
iNEWS TV,Televisi,,,PT,DKI Jakarta,Jl. Kebon Sirih No. 21-27 Jakarta Pusat 10340,021-29709700,corsec.mnc-corporation@mncgroup.com,www.mncgroup.com,Terverifikasi Administrasi dan Faktual,2018-09-04
SCTV,Televisi,,,PT,DKI Jakarta,"SCTV Tower - Senayan City
Jl. Asia Afrika Lot 19, Jakarta 10270",(021) 27935555,,www.sctv.co.id,Terverifikasi Administrasi dan Faktual,2018-09-04
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Indosiar,Televisi,,,PT,DKI Jakarta,"Jl. Damai No. 11 daan Mogot,
Jakarta 11510",021-567-2222,,www.indosiar.com,Terverifikasi Administrasi dan Faktual,2018-09-04
viva.co.id,Siber,,,PT,DKI Jakarta,"Kawasan Industri Pulogadung, Gedung tvOne
Jl. Rawa Terate II No.2
Jakarta Timur 13260",021-4601 326,redaksi@viva.co.id,www.viva.co.id,Terverifikasi Administrasi dan Faktual,2018-09-04
okezone.com,Siber,,,PT,DKI Jakarta,Gedung MNC News Center Lt.12 K.H Wahid Hadsyim No.36-38 Menteng Kota Jakarta Pusat 10340,021-3924706,radaksi.okezone@mncgroup.com,www.okezone.com,Terverifikasi Administrasi dan Faktual,2018-09-04
Radio KBR,Radio,,,PT,DKI Jakarta,"Jl. Hos Cokroaminoto 91 , Menteng â€“ Jakarta Pusat",021-22392426,,www.kbr.id,Terverifikasi Administrasi dan Faktual,2018-09-04
Sindo Trijaya FM,Televisi,,,PT,DKI Jakarta,"MNC News Center Lt.5 , Jl.K.H Wahid Hasyim No.28 Kel.Kebon Serih Kec.Menteng , Jakarta Pusat",021-3921717,redaksi@sindotrijaya.com,,Terverifikasi Administrasi dan Faktual,2018-09-04
RRI,Televisi,,,PT,DKI Jakarta,"Jl. Medan Merdeka Barat 4-5, RT.2/RW.3 Jakarta Pusat",021-3523174,pro3jaringan@gmail.com,,Terverifikasi Administrasi dan Faktual,2018-09-04
Berita Satu News Channel,Televisi,,,PT,DKI Jakarta,"Beritasatu Plasa Lantai 9, Jl. Jend Gatot Subroto Kav 35-36",021-29957500,,,Terverifikasi Administrasi dan Faktual,2018-09-04
Investor,Cetak,,,PT,DKI Jakarta,Jln.Jend.Gatot.Subroto Kav 35-36,021-29957500,,,Terverifikasi Administrasi dan Faktual,2018-09-04
Kompas TV,Televisi,,,PT,DKI Jakarta,"Jln.Palmerah Selatan No.1 Kel.Gelora Kec.Tanah Abang, Jakarta Pusat",021- 5365 4898,public.relations@kompas.tv,www.kompas.tv,Terverifikasi Administrasi dan Faktual,2018-09-04
rmol.co,Siber,,,PT,DKI Jakarta,"Graha Pena, Lt. 9, Jalan Raya Kebayoran Lama No. 12, Jakarta Selatan",021-5348460,keranjangrmol@gmail.com,www.rmol.co,Terverifikasi Administrasi dan Faktual,2018-09-04
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
arah.com,Siber,,,PT,DKI Jakarta,"Jl. Metro Pondok Indah TA 10 No. 29, Pondok Indah, Jakarta Selatan",021-7654187,,www.arah.com,Terverifikasi Administrasi dan Faktual,2018-09-04
TVRI,Televisi,,,PT,DKI Jakarta,"Gedung TVRI Lt. Dasar, Jl. Gerbang Pemuda, Tanah Abang, RT.1/RW.3, Gelora, Kota Jakarta Pusat, DKI Jakarta",(021) 5735151,,,Terverifikasi Administrasi dan Faktual,2018-09-04
obsessionnews.com,Siber,,,PT,DKI Jakarta,"Jl. Kedondong No. 161 Jagakarsa, Jaksel",021-29436102,redaksi@obsessionnews.com,www.obsessionnews.com,Terverifikasi Administrasi dan Faktual,2018-09-04
dream.co.id,Siber,,,PT,DKI Jakarta,"Jl. Tebet Barat IV No.5
Jakarta Selatan, 12810",0218379 52 45,redaksi@dream.co.id,www.dream.co.id,Terverifikasi Administrasi dan Faktual,2018-09-04
uzone.id,Siber,,,PT,DKI Jakarta,"Jl. MT. HaryonoKav 58 â€“ 60, Pancoran, Jakarta Selatan",021 - 79187250,redaksi@uzone.id,www.uzone.id,Terverifikasi Administrasi dan Faktual,2018-09-04
IN TV,Televisi,,,PT,DKI Jakarta,"Jl. Balikpapan Raya no.28 C-D, Jakarta",021-6348057,information@intv.id,,Terverifikasi Administrasi,2018-09-04
Rilis.id,Siber,,,PT,DKI Jakarta,"Jl. Pejaten Raya No. 33 E Jatipadang, Jakarta Selatan",021-84984878,redaksi@rilis.id,www.rilis.id,Terverifikasi Administrasi dan Faktual,2018-09-04
Men's Obsession,Cetak,,,PT,DKI Jakarta,"Jl. Kedondong No. 161 Jagakarsa, Jaksel",021-29436102,redaksi@obsessionnews.com,,Terverifikasi Administrasi dan Faktual,2018-09-04
bintang.com,Siber,,,PT,DKI Jakarta,Jl. RP Soeroso No. 18 Menteng Jakpus,021-3190 4555,redaksibintangdotcom@gmail.com,www.bintang.com,Terverifikasi Administrasi dan Faktual,2018-09-04
DAAI TV,Televisi,,,PT,DKI Jakarta,"Tzu Chi Center, Tower 2
Jl. Boulevard Pantai Indah Kapuk
Jakarta Utara 14470, Indonesia",021-5055 8889,info@daaitv.co.id,,Terverifikasi Administrasi,2018-09-04
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
suara.com,Siber,,,PT,DKI Jakarta,"jl. Sisingamangaraja No. 21
Kebayoran Baru, Jakarta Selatan",021 - 7241888,redaksi@suara.com,www.suara.com,Terverifikasi Administrasi dan Faktual,2018-09-04
tribunnews.com,Siber,,,PT,DKI Jakarta,"Gedung Group of Regional Newspaper Kompas Gramedia, Jl Palmerah Selatan No 3, Jakarta Pusat
Telp. 021-5359525-23",021-5359525,redaksi@tribunnews.com,www.tribunnews.com,Terverifikasi Administrasi dan Faktual,2018-09-04
Jek TV,Televisi,,,PT,Jambi,"Jl. Kapt. Pattimura No.35 KM.08, Kec. Alam Barajo, Kenali Besar Kota Jambi",0741 66396,tvlokaljambi@jektv.co.id,www.jektv.co.id,Terverifikasi Administrasi dan Faktual,2018-09-04
tribunjambi.com,Siber,,,PT,Jambi,"Jl. Prof. Dr. M. Yamin No.06 RT 32 Kel. Lebak Bandung, Kec. Jelutung",0741 7551755,redaksi@tribunjambi.com,www.tribunjambi.com,Terverifikasi Administrasi dan Faktual,2018-09-04
jamberita.com,Siber,,,PT,Jambi,Jl. Perum Mutiara Mayang Blok I No 4 RT 34 Kel. Mayang Mangurai Kec. Aalam Barajo,0741-3067187,jamberita.com@gmail.com,www.jamberita.com,Terverifikasi Administrasi dan Faktual,2018-09-04
Garuda Vision TV,Televisi,,,PT,Jawa Barat,"Jl. Moch. Ramdan No. 49 A, Kel. Cigereleng, Kec. Regot, Kota Bandung, Provinsi Jawa Barat 40255",,,,Terverifikasi Administrasi,2018-09-04
B-Channel,Televisi,,,PT,Jawa Barat,"Kp. Pemeceulan, RT.04/RW. 06, Desa Sukajaya, Kec. Lembang, Kab. Bandung Barat, Prov. Jawa Barat",,,,Terverifikasi Administrasi,2018-09-04
TV Urang Bogor,Televisi,,,PT,Jawa Barat,"Jl. Surya Kencana No. 228 '-230, Gudang, Bogor Tengah",,,,Terverifikasi Administrasi,2018-09-04
Dian TV,Televisi,,,PT,Jawa Barat,"Jl. Siliwangi km.31, RT.03/01, Kel. Mekarsari, Kec. Cicurug",,,,Terverifikasi Administrasi,2018-09-04
Kompas TV Jabar d/h STV Bandung,Televisi,,,PT,Jawa Barat,"Alamat Baru: LL. RE. Martadinata (Jl. Riau) Lt. 3 No. 46 Kel. Citarum, Kec. Sumur Bandung, Bandung, Jawa Barat
Alamat Lama: Sentrasari Mall Blok.B4, No.68-69, Kec. Sukagalih, Kec. Sukajadi",,,,Terverifikasi Administrasi,2018-09-04
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Jatiluhur Televisi,Televisi,,,PT,Jawa Barat,"Jl. Kapten Ismail No. 9, Kel. Sindangkasih, Kec. Jatiluhur",,,,Terverifikasi Administrasi,2018-09-04
TV Anak Garut,Televisi,,,PT,Jawa Barat,"Jl. Raya Dangiang, Desa Dangiang, Kec. Cilawu",,,,Terverifikasi Administrasi,2018-09-04
TV Anak Bandung,Televisi,,,PT,Jawa Barat,"Jl. Gandrung-Kol. Masturi, Kel. Jambudipa, Kec. Cisarua, Kab. Bandung Barat, Provinsi Jawa Barat 40551",,,,Terverifikasi Administrasi,2018-09-04
IMTV,Televisi,,,PT,Jawa Barat,"Jl. Terusan Prof. DR. Ir. Sutami, Komp. Setrasari Mall Blok C-3 No. 9/35, Kel. Sukagalih, Kec. Sukajadi, Kota Bandung, Prov. Jawa Barat 40164",,,,Terverifikasi Administrasi,2018-09-04
Indosiar Bandung,Televisi,,,PT,Jawa Barat,"Jl. Raya Banjaran KM. 10, Gang Saluyu No. 117, Kel. Andir, Kec. Bale Endah, Kab. Bandung",,,,Terverifikasi Administrasi,2018-09-04
GTV,Televisi,,,PT,Jawa Barat,"Jl. Sentrasari Mall Blok C3 No.9, Kel. Sukagalih, Kec. Sukajadi",,,,Terverifikasi Administrasi,2018-09-04
ANTV Bandung,Televisi,,,PT,Jawa Barat,"Kampung Gandrung No.99 RT.002/RW.010, Kel. Jambudipa, Kec. Cisarua, Kab. Bandung",,,,Terverifikasi Administrasi,2018-09-04
Trans TV Bandung,Televisi,,,PT,Jawa Barat,"Jl. Terusan Kolonel Masturi 002/010, Kp. Gandrung, Desa Jambudipa, Kec. Cisarua, Kab. Bandung Barat",,,,Terverifikasi Administrasi,2018-09-04
Metro TV Jabar,Televisi,,,PT,Jawa Barat,,,,,Terverifikasi Administrasi,2018-09-04
Fasindo TV Kabel,Televisi,,,PT,Jawa Barat,"Jl. Raya Caringin No.439D, Kel. Babakan, Kec. Babakan Ciparay",,,,Terverifikasi Administrasi,2018-09-04
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Megavision,Televisi,,,PT,Jawa Barat,"Jl. Bangau No.2-4 RT.05/03, Kel. Tanah Sareal, Kec. Tanah Sareal",,,,Terverifikasi Administrasi,2018-09-04
Sufia TV,Televisi,,,PT,Jawa Barat,"Jl. Terusan Buah Batu 38-42, Bandung",,,,Terverifikasi Administrasi,2018-09-04
PR Radio,Radio,,,PT,Jawa Barat,"Jl. Braga No. 05 Kel. Braga, Kec Sumur Bandung",022-4221400,prfmradio1075@gmail.com,,Terverifikasi Administrasi dan Faktual,2018-09-04
Inspira TV,Televisi,,,PT,Jawa Barat,Jl. Rancabolang No. 9 Bandung,022-87301568,welcome@inspira.tv,,Terverifikasi Administrasi,2018-09-04
Badar TV,Televisi,,,PT,Jawa Barat,Jl. Cikarang Baru No. 31 Cikarang Utara Kab Bekasi,021-89844550,news.badartv@gmail.com,,Terverifikasi Administrasi,2018-09-04
STV,Televisi,,,PT,Jawa Tengah,"Jl. Dr. Rajiman No.28, Kel. Tegalsari Bumi, Kec. Laweyan, Kota Surakarta, Prov. Jawa Tengah",,,,Terverifikasi Administrasi,2018-09-04
Semarang TV,Televisi,,,PT,Jawa Tengah,"Jl. Bukit Puncak II No.8, Kel. Ngresep, Kec. Banyumanik",,,,Terverifikasi Administrasi,2018-09-04
Kompas TV Jawa Tengah d/h btv,Televisi,,,PT,Jawa Tengah,"Jl. Agus Salim Gedung SCJ Plaza Lt. 5 & 6, Kauman, Semarang Tengah",,,,Terverifikasi Administrasi,2018-09-04
MG TV,Televisi,,,PT,Jawa Tengah,"Kantor dan Studio : Metrosquare Blok B No.18-19, Jl. Mayjen Bambang Soegeng, Kel. Sumberrejo, Kec. Metroyudan, Kota Magelang
Pemancar : Jl. Beringin I No.29, Tidar Krajan RT.01 RW.05, Kec. Magelang Selatan, Kota Magelang",,,,Terverifikasi Administrasi,2018-09-04
Future Media TV (SM TV),Televisi,,,PT,Jawa Tengah,"Jl. Pandanaran 30, Pekunden, Kec. Semarang Tengah",,,,Terverifikasi Administrasi,2018-09-04
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
TV Ku,Televisi,,,PT,Jawa Tengah,"Jl. Nakula I No.5-11, Pindrikan Kidul, Semarang Tengah",,,,Terverifikasi Administrasi,2018-09-04
BMS TV,Televisi,,,PT,Jawa Tengah,"GD.BSI, Jl. HR. Bunyamin 106, Kel. Pabuaran, Kec. Purwokerto Utara",,,,Terverifikasi Administrasi,2018-09-04
Tanah Liat TV,Televisi,,,PT,Jawa Tengah,"Jl. Jendral Sudirman 54, Kel. Pangenjuru Tengah, Kec. Purworejo, Kab. Purworejo",,,,Terverifikasi Administrasi,2018-09-04
Kartika TV,Televisi,,,PT,Jawa Tengah,"Jl. Dr. Wahidin-Ruko Saiza No.15-16, Kel. Pati, Kec. Pati",,,,Terverifikasi Administrasi,2018-09-04
KudusTV,Televisi,,,PT,Jawa Tengah,"Griya Kencana2, Jl. Gaharu Raya No.48, Kel. Sidokerto, Kec. Pati",,,,Terverifikasi Administrasi,2018-09-04
tvOne Semarang,Televisi,,,PT,Jawa Tengah,"Jl. Rawa Terate II No.2, Jakarta Timur
Pemancar : Jl. Stasiun Relay, Gunung Gantungan, Desa Gantungan, Kec. Jatinegara, Kota Tegal",,,,Terverifikasi Administrasi,2018-09-04
Metro TV Jateng,Televisi,,,PT,Jawa Tengah,,,,,Terverifikasi Administrasi,2018-09-04
Global TV Semarang,Televisi,,,PT,Jawa Tengah,Jl. Bukit Merpati II Gombel Semarang Jawa Tengah 50235,,,,Terverifikasi Administrasi,2018-09-04
ANTV Semarang,Televisi,,,PT,Jawa Tengah,"Jl. Bukit Merpati II RT. 02 RW. 10, Kel. Ngesrep, Kec. Banyumanik",,,,Terverifikasi Administrasi,2018-09-04
Trans TV Semarang,Televisi,,,PT,Jawa Tengah,"Jl. Bukit Merpati II Bukit Sari Gombel, Komplek HUBDAM IV Diponegoro, Kel. Ngesrep, Kec. Banyumanik, Kota Semarang",,,,Terverifikasi Administrasi,2018-09-04
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Nusa Vision,Televisi,,,PT,Jawa Tengah,"Jl. Perum Rinjani No. 1 RT. 01 RW. 22, Kel. Sidanegara, Kec. Cilacap Tengah, Kab. Cilacap, Prov. Jateng",,,,Terverifikasi Administrasi,2018-09-04
besTVision,Televisi,,,PT,Jawa Tengah,"BTC B-7, Jl. Letkol Sunaryo No. 2, Kel. Kedung Lumbu, Kec. Pasar Kliwon, Surakarta",,,,Terverifikasi Administrasi,2018-09-04
Megavision,Televisi,,,PT,Jawa Tengah,"Jl. Suyudono 145/179, Kel. Bulustalan, Kec. Semarang Selatan",,,,Terverifikasi Administrasi,2018-09-04
Transdata TV,Televisi,,,PT,Jawa Tengah,"Jl. KH, Wachid Hasyim No. 55A, Kel. Karangklesem, Kec. Purwokerto Selatan, Kab. Banyumas, Prov. Jawa Tengah",,,,Terverifikasi Administrasi,2018-09-04
Wava TV Kabel,Televisi,,,PT,Jawa Tengah,"Jl. Semangka 7, Kel. Bandarjo, Kec. Ungaran Barat, Kota Semarang, Prov. Jawa Tengah",,,,Terverifikasi Administrasi,2018-09-04
Yasifat Kabelvision,Televisi,,,PT,Jawa Tengah,"Jl. Sultan Hasanudin RT.22A, No.27, Kel. Brebes Tengah, Kec. Bontang",,,,Terverifikasi Administrasi,2018-09-04
TA TV,Televisi,,,PT,Jawa Tengah,"Jln.Brigjend Katamso 173 Mojosongo,Solo",0271-852643,publicrelations@tatv.co.id,,Terverifikasi Administrasi dan Faktual,2018-09-04
tribunjateng.co,Siber,,,PT,Jawa Tengah,"Jl. Menteri Supeno No. 30, Semarang",024 8455959,redaksi@tribunjateng.com,www.tribunjateng.co,Terverifikasi Administrasi dan Faktual,2018-09-04
radarsemarang.com,Cetak,,,PT,Jawa Tengah,Jl. Veteran 55 Semarang,024 8414280,,www.radarsemarang.com,Terverifikasi Administrasi dan Faktual,2018-09-04
Wawasan,Cetak,,,PT,Jawa Tengah,Jl. Kawi No.20 Semarang,024 8507070,redaksi@koranwawasan.com,,Terverifikasi Administrasi dan Faktual,2018-09-04
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
suaramerdeka.com,Siber,,,PT,Jawa Tengah,Jl. Raya kaligawe KM 5 Semarang,024 6580900,rep@suaramerdeka.com,www.suaramerdeka.com,Terverifikasi Administrasi dan Faktual,2018-09-04
Dhoho TV,Televisi,,,PT,Jawa Timur,"kantor dan studio:
Jl. Mayjend Panjaitan No.1, Kel. Bangsai, Kec. Pesantren, Kota Kediri,Prov. Jawa Timur
pemancar:
Jl. Selopanggung Kel. Selopanggung, Kec. Semen, Kab. Kediri, Prov.Jawa Timur",,,,Terverifikasi Administrasi,2018-09-04
TV Anak Surabaya,Televisi,,,PT,Jawa Timur,"JL. COMAL NO. 4, KEPUTRAAN, TEGALSARI, SURABAYA",,,,Terverifikasi Administrasi,2018-09-04
MH TV,Televisi,,,PT,Jawa Timur,"Ruko Rich Palace Blok I No.17, Jl. Mayjen Sungkono No.149-151, Kel. Dukuh Pakis, Kec. Dukuh Pakis, Kota Surabaya

Jl. Kertajaya Indah No.61, Kel. Manyar Sabrangan, Kec. mulyorejo",,,,Terverifikasi Administrasi,2018-09-04
Madura Channel,Televisi,,,PT,Jawa Timur,"JL. ADIRASA NO 05-06, BUM1SUMEKAR, KEL. KOLOR, KEC. KOTA",,,,Terverifikasi Administrasi,2018-09-04
MN TV,Televisi,,,PT,Jawa Timur,"Ruko Rich Palace Blok H-18, Jl. Mayjen Sungkono 149-151, Kel. Dukuh Pakis, Kec. Dukuh Pakis
Pemancar:
Jl. Sambisari 3 No.5, Kel. Lakasantri, Kec. Lakasantri",,,,Terverifikasi Administrasi,2018-09-04
B-One TV,Televisi,,,PT,Jawa Timur,"JL. LETTU SUYITNO NO 27 A KEL. MULYO AGUNG, KEC. BOJONEGORO",,,,Terverifikasi Administrasi,2018-09-04
BBS TV,Televisi,,,PT,Jawa Timur,"Alamat Kantor:
JL. PERAK BARAT 225-227, KEL. PERAK UTARA, KEC. PABEAN CANTIAN
Alamat Studio:
Jl. Puncak Permai Utara 1-2, Kel. Lontar, Kec. Sambikerep
Alamat Pemancar:
Jl. Sambisari III/5, Kel. Lontar, Kec. Sambikerep",,,,Terverifikasi Administrasi,2018-09-04
Arek TV,Televisi,,,PT,Jawa Timur,"JL. CIPTA MENANGGAL UTARA NO 66 MENANGGAL, GAYUNGAN",,,,Terverifikasi Administrasi,2018-09-04
Kompas TV d/h BC Channel,Televisi,,,PT,Jawa Timur,"Jl. Dukuh Kupang Barat No.129, Kel. Dukuh Kupang, Kec. Dukuh Pakis",,,,Terverifikasi Administrasi,2018-09-04
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
